world_index,world_timestamp,surface_name,event_type
13169,102141.231835,Surface 1,enter
13228,102143.208949,Surface 1,exit
13264,102144.415324,Surface 1,enter
13323,102146.392438,Surface 1,exit
13359,102147.598813,Surface 1,enter
13418,102149.575927,Surface 1,exit
13454,102150.782301,Surface 1,enter
13514,102152.792926,Surface 1,exit
13549,102153.96579,Surface 1,enter
13609,102155.976415,Surface 1,exit
13644,102157.149279,Surface 1,enter
13704,102159.159904,Surface 1,exit
13740,102160.366278,Surface 1,enter
13799,102162.343393,Surface 1,exit
13835,102163.549767,Surface 1,enter
13894,102165.526881,Surface 1,exit
13930,102166.733256,Surface 1,enter
13989,102168.71037,Surface 1,exit
14025,102169.916745,Surface 1,enter
14086,102171.96088,Surface 1,exit
14120,102173.100234,Surface 1,enter
14181,102175.144369,Surface 1,exit
14216,102176.317233,Surface 1,enter
14275,102178.294347,Surface 1,exit
14311,102179.500722,Surface 1,enter
14370,102181.477836,Surface 1,exit
14406,102182.684211,Surface 1,enter
14466,102184.694835,Surface 1,exit
14502,102185.90121,Surface 1,enter
14561,102187.878324,Surface 1,exit
14597,102189.084699,Surface 1,enter
14656,102191.061813,Surface 1,exit
14692,102192.268188,Surface 1,enter
14752,102194.278812,Surface 1,exit
14788,102195.485187,Surface 1,enter
14847,102197.462301,Surface 1,exit
14883,102198.668676,Surface 1,enter
14942,102200.64579,Surface 1,exit
14978,102201.852165,Surface 1,enter
15037,102203.829279,Surface 1,exit
15072,102205.002143,Surface 1,enter
15132,102207.012768,Surface 1,exit
15168,102208.219142,Surface 1,enter
15227,102210.196256,Surface 1,exit
15263,102211.402631,Surface 1,enter
15322,102213.379745,Surface 1,exit
15358,102214.58612,Surface 1,enter
15417,102216.563234,Surface 1,exit
15453,102217.769609,Surface 1,enter
15513,102219.780233,Surface 1,exit
15549,102220.986608,Surface 1,enter
15608,102222.963722,Surface 1,exit
15645,102224.203607,Surface 1,enter
15704,102226.180722,Surface 1,exit
15741,102227.420607,Surface 1,enter
15800,102229.397721,Surface 1,exit
15836,102230.604096,Surface 1,enter
15895,102232.58121,Surface 1,exit
15931,102233.787584,Surface 1,enter
15991,102235.798209,Surface 1,exit
16026,102236.971073,Surface 1,enter
16086,102238.981698,Surface 1,exit
16121,102240.154562,Surface 1,enter
16181,102242.165187,Surface 1,exit
16217,102243.371561,Surface 1,enter
16276,102245.348675,Surface 1,exit
16313,102246.588561,Surface 1,enter
16372,102248.565675,Surface 1,exit
16408,102249.772049,Surface 1,enter
16468,102251.782674,Surface 1,exit
16503,102252.955538,Surface 1,enter
16564,102254.999673,Surface 1,exit
16598,102256.139027,Surface 1,enter
16659,102258.183162,Surface 1,exit
16694,102259.356026,Surface 1,enter
16755,102261.400161,Surface 1,exit
16790,102262.573026,Surface 1,enter
16849,102264.55014,Surface 1,exit
16885,102265.756515,Surface 1,enter
16944,102267.733629,Surface 1,exit
16980,102268.940003,Surface 1,enter
17040,102270.950628,Surface 1,exit
17076,102272.157003,Surface 1,enter
17135,102274.134117,Surface 1,exit
17171,102275.340491,Surface 1,enter
17230,102277.317606,Surface 1,exit
17266,102278.52398,Surface 1,enter
17326,102280.534605,Surface 1,exit
17362,102281.74098,Surface 1,enter
17421,102283.718094,Surface 1,exit
17456,102284.890958,Surface 1,enter
17516,102286.901583,Surface 1,exit
17551,102288.074447,Surface 1,enter
17611,102290.085071,Surface 1,exit
17646,102291.257936,Surface 1,enter
17688,102292.665373,Surface 1,exit
17692,102292.799415,Surface 1,enter
17705,102293.23505,Surface 1,exit
17741,102294.441425,Surface 1,enter
17795,102296.250987,Surface 1,exit
17797,102296.318007,Surface 1,enter
17801,102296.452049,Surface 1,exit
17836,102297.624913,Surface 1,enter
17896,102299.635538,Surface 1,exit
17931,102300.808402,Surface 1,enter
17991,102302.819027,Surface 1,exit
18027,102304.025402,Surface 1,enter
18086,102306.002516,Surface 1,exit
18122,102307.20889,Surface 1,enter
18181,102309.186004,Surface 1,exit
18216,102310.358869,Surface 1,enter
18276,102312.369493,Surface 1,exit
18311,102313.542358,Surface 1,enter
18370,102315.519472,Surface 1,exit
18406,102316.725847,Surface 1,enter
18466,102318.736471,Surface 1,exit
