world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers
13169,102141.231835,"[[ 2.58504939e-03 -6.34971342e-05 -1.25836567e+00]
 [-1.07105878e-05 -2.94887753e-03  1.45783452e+00]
 [ 7.17760223e-05 -4.87949659e-05  9.88226356e-01]]","[[ 3.72920386e+02 -1.62849892e+01  4.98884722e+02]
 [-1.51137163e+01 -3.46936971e+02  4.92557306e+02]
 [-2.78318981e-02 -1.59476681e-02  1.00000000e+00]]",4
13170,102141.265345,"[[ 2.58447755e-03 -6.37851868e-05 -1.25777848e+00]
 [-1.03551171e-05 -2.94932301e-03  1.45779479e+00]
 [ 7.16932368e-05 -4.89520240e-05  9.88348157e-01]]","[[ 3.73022608e+02 -1.63466902e+01  4.98822124e+02]
 [-1.50526942e+01 -3.46910186e+02  4.92529787e+02]
 [-2.78040262e-02 -1.59963961e-02  1.00000000e+00]]",4
13171,102141.298856,"[[ 2.58563154e-03 -6.35174352e-05 -1.25883526e+00]
 [-8.44327460e-06 -2.95059843e-03  1.45661584e+00]
 [ 7.35515468e-05 -4.80944194e-05  9.86975454e-01]]","[[ 3.72506701e+02 -1.61517693e+01  4.98950091e+02]
 [-1.51342390e+01 -3.46611964e+02  4.92240169e+02]
 [-2.84974832e-02 -1.56864221e-02  1.00000000e+00]]",4
13172,102141.332366,"[[ 2.58543404e-03 -6.25592903e-05 -1.25974621e+00]
 [-8.32720895e-06 -2.94923001e-03  1.45609493e+00]
 [ 7.38403726e-05 -4.71474977e-05  9.86353082e-01]]","[[ 3.72475025e+02 -1.58807249e+01  4.99159839e+02]
 [-1.51768723e+01 -3.46619888e+02  4.92310979e+02]
 [-2.86096802e-02 -1.53795045e-02  1.00000000e+00]]",4
13173,102141.365877,"[[ 2.58441257e-03 -6.09855764e-05 -1.26035554e+00]
 [-7.55126552e-06 -2.94719316e-03  1.45472586e+00]
 [ 7.39950821e-05 -4.49259260e-05  9.85172585e-01]]","[[ 3.72594946e+02 -1.53210624e+01  4.99293278e+02]
 [-1.51081110e+01 -3.46497973e+02  4.92317770e+02]
 [-2.86741023e-02 -1.46502849e-02  1.00000000e+00]]",4
13174,102141.399387,"[[ 2.58454024e-03 -6.20713643e-05 -1.26039295e+00]
 [-7.78444503e-06 -2.94882101e-03  1.45620961e+00]
 [ 7.30374996e-05 -4.85366813e-05  9.87422929e-01]]","[[ 3.72752212e+02 -1.60677926e+01  4.99494512e+02]
 [-1.49628701e+01 -3.46910169e+02  4.92509148e+02]
 [-2.83071587e-02 -1.58638375e-02  1.00000000e+00]]",4
13175,102141.432897,"[[ 2.58331077e-03 -6.05617996e-05 -1.25989068e+00]
 [-7.94436242e-06 -2.94633879e-03  1.45562837e+00]
 [ 7.19595531e-05 -4.68220650e-05  9.87143117e-01]]","[[ 3.73145158e+02 -1.56039314e+01  4.99254490e+02]
 [-1.47913423e+01 -3.46930048e+02  4.92700335e+02]
 [-2.79026613e-02 -1.53180720e-02  1.00000000e+00]]",4
13176,102141.466408,"[[ 2.58416853e-03 -6.06185880e-05 -1.25964833e+00]
 [-7.43350316e-06 -2.94747721e-03  1.45601945e+00]
 [ 7.25374273e-05 -4.77882710e-05  9.87350060e-01]]","[[ 3.72919254e+02 -1.57600869e+01  4.99006509e+02]
 [-1.48289336e+01 -3.46956983e+02  4.92729876e+02]
 [-2.81149042e-02 -1.56350608e-02  1.00000000e+00]]",4
13177,102141.499918,"[[ 2.58268306e-03 -6.13967964e-05 -1.25822031e+00]
 [-8.36331570e-06 -2.94569144e-03  1.45639354e+00]
 [ 7.08937114e-05 -4.84062781e-05  9.88495667e-01]]","[[ 3.73447986e+02 -1.59820479e+01  4.98895450e+02]
 [-1.46571812e+01 -3.47274768e+02  4.92998384e+02]
 [-2.75009939e-02 -1.58597077e-02  1.00000000e+00]]",4
13178,102141.533429,"[[ 2.58106057e-03 -6.24146449e-05 -1.25676094e+00]
 [-1.03780942e-05 -2.94631516e-03  1.45773996e+00]
 [ 6.94671077e-05 -4.86309111e-05  9.89322671e-01]]","[[ 3.73946854e+02 -1.61553400e+01  4.98838344e+02]
 [-1.46651370e+01 -3.47233800e+02  4.93010046e+02]
 [-2.69782409e-02 -1.59341656e-02  1.00000000e+00]]",4
13179,102141.566939,"[[ 2.58374992e-03 -6.32238630e-05 -1.25680010e+00]
 [-1.21782294e-05 -2.94900754e-03  1.45908332e+00]
 [ 7.22709832e-05 -4.79161812e-05  9.87583157e-01]]","[[ 3.73015292e+02 -1.60965315e+01  4.98481402e+02]
 [-1.54163083e+01 -3.46772331e+02  4.92712439e+02]
 [-2.80451042e-02 -1.56469798e-02  1.00000000e+00]]",4
13180,102141.600449,"[[ 2.58478498e-03 -6.40269957e-05 -1.25614858e+00]
 [-1.12422853e-05 -2.94940541e-03  1.45753642e+00]
 [ 7.38011378e-05 -4.85253853e-05  9.87122448e-01]]","[[ 3.72584668e+02 -1.62844590e+01  4.98172131e+02]
 [-1.55641016e+01 -3.46812816e+02  4.92280858e+02]
 [-2.86209948e-02 -1.58312821e-02  1.00000000e+00]]",4
13181,102141.63396,"[[ 2.58123285e-03 -6.51551710e-05 -1.25361611e+00]
 [-1.33876165e-05 -2.94645170e-03  1.45675529e+00]
 [ 7.05650116e-05 -4.86604324e-05  9.88800470e-01]]","[[ 3.73709653e+02 -1.64897701e+01  4.98088356e+02]
 [-1.52548374e+01 -3.47181713e+02  4.92146900e+02]
 [-2.74202266e-02 -1.59085801e-02  1.00000000e+00]]",4
13182,102141.66747,"[[ 2.58149270e-03 -6.56180690e-05 -1.25338167e+00]
 [-1.30797218e-05 -2.94653178e-03  1.45629729e+00]
 [ 7.10322826e-05 -4.86727475e-05  9.88572072e-01]]","[[ 3.73585088e+02 -1.65464197e+01  4.98032689e+02]
 [-1.52977059e+01 -3.47169059e+02  4.92030384e+02]
 [-2.75965544e-02 -1.59040928e-02  1.00000000e+00]]",4
13183,102141.700981,"[[ 2.58076908e-03 -6.57030963e-05 -1.25304954e+00]
 [-1.40043168e-05 -2.94509043e-03  1.45626078e+00]
 [ 7.03933874e-05 -4.77617042e-05  9.88443396e-01]]","[[ 3.73807116e+02 -1.64166638e+01  4.98061679e+02]
 [-1.53066265e+01 -3.47187285e+02  4.92102298e+02]
 [-2.73608179e-02 -1.56069957e-02  1.00000000e+00]]",4
13184,102141.734491,"[[ 2.58222405e-03 -6.63269253e-05 -1.25298850e+00]
 [-1.40612309e-05 -2.94774578e-03  1.45737867e+00]
 [ 7.16767045e-05 -4.84590705e-05  9.88157295e-01]]","[[ 3.73352881e+02 -1.65855145e+01  4.97874422e+02]
 [-1.55470769e+01 -3.46981110e+02  4.92029520e+02]
 [-2.78438475e-02 -1.58128540e-02  1.00000000e+00]]",4
13185,102141.768001,"[[ 2.58317762e-03 -6.65129220e-05 -1.25241306e+00]
 [-1.53193855e-05 -2.94869850e-03  1.45869213e+00]
 [ 7.28054105e-05 -4.90985820e-05  9.87940607e-01]]","[[ 3.72999178e+02 -1.66975592e+01  4.97505253e+02]
 [-1.59273865e+01 -3.46967417e+02  4.92105469e+02]
 [-2.82794028e-02 -1.60130431e-02  1.00000000e+00]]",4
13186,102141.801512,"[[ 2.58330946e-03 -6.61495576e-05 -1.25163944e+00]
 [-1.48483715e-05 -2.94802582e-03  1.45808217e+00]
 [ 7.28743417e-05 -4.89003677e-05  9.87836870e-01]]","[[ 3.72981513e+02 -1.66150054e+01  4.97110839e+02]
 [-1.58763529e+01 -3.47016391e+02  4.92092325e+02]
 [-2.83013750e-02 -1.59524533e-02  1.00000000e+00]]",4
13187,102141.835022,"[[ 2.58412838e-03 -6.80707055e-05 -1.25106009e+00]
 [-1.56263830e-05 -2.95008918e-03  1.45918616e+00]
 [ 7.31516441e-05 -4.97385241e-05  9.88107806e-01]]","[[ 3.72803265e+02 -1.69830859e+01  4.97092288e+02]
 [-1.60250315e+01 -3.46898018e+02  4.91991367e+02]
 [-2.84060434e-02 -1.62045626e-02  1.00000000e+00]]",4
13188,102141.868533,"[[ 2.58417600e-03 -6.90847378e-05 -1.25095478e+00]
 [-1.57420218e-05 -2.94977120e-03  1.45878652e+00]
 [ 7.32537849e-05 -4.99239803e-05  9.88132864e-01]]","[[ 3.72771016e+02 -1.71459477e+01  4.97232691e+02]
 [-1.60571624e+01 -3.46958345e+02  4.91888683e+02]
 [-2.84460990e-02 -1.62584776e-02  1.00000000e+00]]",4
13189,102141.902043,"[[ 2.58219176e-03 -6.83138520e-05 -1.25033812e+00]
 [-1.52872484e-05 -2.94704783e-03  1.45717689e+00]
 [ 7.12347711e-05 -5.01797329e-05  9.89262122e-01]]","[[ 3.73449515e+02 -1.71230948e+01  4.97228722e+02]
 [-1.56256109e+01 -3.47335608e+02  4.91873807e+02]
 [-2.76839466e-02 -1.63853926e-02  1.00000000e+00]]",4
13190,102141.935553,"[[ 2.58304842e-03 -6.81404480e-05 -1.25128359e+00]
 [-1.47818597e-05 -2.94713614e-03  1.45735009e+00]
 [ 7.17153487e-05 -5.04937835e-05  9.89171825e-01]]","[[ 3.73231579e+02 -1.71514934e+01  4.97400218e+02]
 [-1.56478050e+01 -3.47380222e+02  4.92002243e+02]
 [-2.78582032e-02 -1.64890629e-02  1.00000000e+00]]",4
13191,102141.969064,"[[ 2.58466536e-03 -6.88937616e-05 -1.25260869e+00]
 [-1.61910103e-05 -2.94835649e-03  1.45972355e+00]
 [ 7.20648904e-05 -4.97013159e-05  9.88600493e-01]]","[[ 3.72911880e+02 -1.71045697e+01  4.97754764e+02]
 [-1.59022746e+01 -3.47100350e+02  4.92363933e+02]
 [-2.79832125e-02 -1.62034161e-02  1.00000000e+00]]",4
13192,102142.002574,"[[ 2.58412118e-03 -6.86244931e-05 -1.25289367e+00]
 [-1.48611892e-05 -2.94707860e-03  1.45938729e+00]
 [ 7.17930869e-05 -4.89041759e-05  9.88346728e-01]]","[[ 3.73047670e+02 -1.69493015e+01  4.97927142e+02]
 [-1.56843587e+01 -3.47129569e+02  4.92687065e+02]
 [-2.78740989e-02 -1.59450549e-02  1.00000000e+00]]",4
13193,102142.036085,"[[ 2.58377780e-03 -6.88571716e-05 -1.25285141e+00]
 [-1.58801732e-05 -2.94673470e-03  1.46059928e+00]
 [ 7.11691719e-05 -4.86031340e-05  9.88516198e-01]]","[[ 3.73208075e+02 -1.69352990e+01  4.98029216e+02]
 [-1.57124851e+01 -3.47122735e+02  4.92983128e+02]
 [-2.76420211e-02 -1.58479766e-02  1.00000000e+00]]",4
13194,102142.069595,"[[ 2.58407541e-03 -6.79812386e-05 -1.25397116e+00]
 [-1.65094067e-05 -2.94660570e-03  1.46179544e+00]
 [ 7.19984974e-05 -4.60202340e-05  9.86828925e-01]]","[[ 3.72998580e+02 -1.63871011e+01  4.98246493e+02]
 [-1.59596943e+01 -3.46709763e+02  4.93303088e+02]
 [-2.79580436e-02 -1.49730286e-02  1.00000000e+00]]",4
13195,102142.103106,"[[ 2.58522236e-03 -7.07283634e-05 -1.25474353e+00]
 [-1.68640121e-05 -2.94942213e-03  1.46427447e+00]
 [ 7.07052416e-05 -4.93855957e-05  9.89105393e-01]]","[[ 3.73057457e+02 -1.72990098e+01  4.98856778e+02]
 [-1.57632458e+01 -3.46936528e+02  4.93609146e+02]
 [-2.74547031e-02 -1.60857847e-02  1.00000000e+00]]",4
13196,102142.136616,"[[ 2.58635231e-03 -7.01707567e-05 -1.25593647e+00]
 [-1.72680993e-05 -2.95000294e-03  1.46552140e+00]
 [ 7.11910468e-05 -4.96429790e-05  9.88992578e-01]]","[[ 3.72794337e+02 -1.72647752e+01  4.99000611e+02]
 [-1.59101931e+01 -3.46915086e+02  4.93865479e+02]
 [-2.76336234e-02 -1.61707997e-02  1.00000000e+00]]",4
13197,102142.170126,"[[ 2.58848813e-03 -6.83506362e-05 -1.25801278e+00]
 [-1.59185223e-05 -2.94995478e-03  1.46532640e+00]
 [ 7.38965699e-05 -4.70505463e-05  9.86366686e-01]]","[[ 3.71977037e+02 -1.65783419e+01  4.99048230e+02]
 [-1.62346362e+01 -3.46491749e+02  4.94035467e+02]
 [-2.86421632e-02 -1.52859415e-02  1.00000000e+00]]",4
13198,102142.203637,"[[ 2.58881157e-03 -6.90081999e-05 -1.25789479e+00]
 [-1.71988708e-05 -2.94960308e-03  1.46649417e+00]
 [ 7.46940205e-05 -4.46502554e-05  9.84791735e-01]]","[[ 3.71770113e+02 -1.62526561e+01  4.99072133e+02]
 [-1.65605749e+01 -3.46123392e+02  4.94273519e+02]
 [-2.89486978e-02 -1.44604398e-02  1.00000000e+00]]",4
13199,102142.237147,"[[ 2.59002502e-03 -7.02200304e-05 -1.25791965e+00]
 [-1.87370888e-05 -2.95312249e-03  1.46924126e+00]
 [ 7.50128787e-05 -4.63954901e-05  9.85498297e-01]]","[[ 3.71521518e+02 -1.66750203e+01  4.99081378e+02]
 [-1.68206242e+01 -3.45991298e+02  4.94354682e+02]
 [-2.90708769e-02 -1.50194015e-02  1.00000000e+00]]",4
13200,102142.270658,"[[ 2.58915760e-03 -7.25332819e-05 -1.25615857e+00]
 [-1.95709711e-05 -2.95275691e-03  1.46967707e+00]
 [ 7.37338787e-05 -4.85553957e-05  9.87212814e-01]]","[[ 3.71884095e+02 -1.73409801e+01  4.99011994e+02]
 [-1.66984232e+01 -3.46386697e+02  4.94422998e+02]
 [-2.85969295e-02 -1.57416164e-02  1.00000000e+00]]",4
13201,102142.304168,"[[ 2.58900108e-03 -7.23740617e-05 -1.25575906e+00]
 [-2.07032401e-05 -2.95133721e-03  1.47033668e+00]
 [ 7.34054973e-05 -4.72099173e-05  9.86735024e-01]]","[[ 3.71968369e+02 -1.71014812e+01  4.98865017e+02]
 [-1.67954438e+01 -3.46330776e+02  4.94693916e+02]
 [-2.84751569e-02 -1.52978299e-02  1.00000000e+00]]",4
13202,102142.337678,"[[ 2.58888811e-03 -7.20646208e-05 -1.25547422e+00]
 [-2.14434181e-05 -2.95186793e-03  1.47109962e+00]
 [ 7.36846531e-05 -4.55926275e-05  9.85808540e-01]]","[[ 3.71932716e+02 -1.67829647e+01  4.98718899e+02]
 [-1.69470605e+01 -3.45996234e+02  4.94739404e+02]
 [-2.85840435e-02 -1.47475193e-02  1.00000000e+00]]",4
13203,102142.371189,"[[ 2.58716068e-03 -7.27260327e-05 -1.25386184e+00]
 [-2.40850038e-05 -2.95097057e-03  1.47252153e+00]
 [ 7.12084995e-05 -4.65262751e-05  9.87525351e-01]]","[[ 3.72643168e+02 -1.70442289e+01  4.98560407e+02]
 [-1.68457421e+01 -3.46259625e+02  4.94926554e+02]
 [-2.76642321e-02 -1.50846524e-02  1.00000000e+00]]",4
13204,102142.404699,"[[ 2.58444201e-03 -7.50956464e-05 -1.25073289e+00]
 [-2.83885136e-05 -2.94949643e-03  1.47353976e+00]
 [ 6.99689140e-05 -4.46205180e-05  9.87210767e-01]]","[[ 3.73252333e+02 -1.70419277e+01  4.98324109e+02]
 [-1.71971872e+01 -3.46088410e+02  4.94793981e+02]
 [-2.72316801e-02 -1.44348496e-02  1.00000000e+00]]",4
13205,102142.43821,"[[ 2.58909522e-03 -7.67181488e-05 -1.25187977e+00]
 [-2.64809667e-05 -2.95290345e-03  1.47320047e+00]
 [ 7.42523115e-05 -4.54508094e-05  9.85481978e-01]]","[[ 3.71771124e+02 -1.73266276e+01  4.98170800e+02]
 [-1.77165330e+01 -3.45799701e+02  4.94431482e+02]
 [-2.88286308e-02 -1.46429204e-02  1.00000000e+00]]",4
13206,102142.47172,"[[ 2.58972376e-03 -7.75870973e-05 -1.25169317e+00]
 [-2.67564047e-05 -2.95369176e-03  1.47378407e+00]
 [ 7.44409026e-05 -4.63210907e-05  9.85821192e-01]]","[[ 3.71640974e+02 -1.75743228e+01  4.98144318e+02]
 [-1.77860574e+01 -3.45846357e+02  4.94450888e+02]
 [-2.88989112e-02 -1.49233270e-02  1.00000000e+00]]",4
13207,102142.50523,"[[ 2.58762488e-03 -7.85261525e-05 -1.25057956e+00]
 [-2.80484493e-05 -2.95190467e-03  1.47435494e+00]
 [ 7.21648868e-05 -4.62468303e-05  9.86919242e-01]]","[[ 3.72365803e+02 -1.77124673e+01  4.98305743e+02]
 [-1.75480698e+01 -3.46048248e+02  4.94724053e+02]
 [-2.80501964e-02 -1.49205890e-02  1.00000000e+00]]",4
13208,102142.538741,"[[ 2.58749181e-03 -8.03107527e-05 -1.25072061e+00]
 [-3.04548585e-05 -2.95147777e-03  1.47659531e+00]
 [ 7.08774560e-05 -4.72105165e-05  9.88026569e-01]]","[[ 3.72599766e+02 -1.81161949e+01  4.98740125e+02]
 [-1.76385647e+01 -3.46253475e+02  4.95143913e+02]
 [-2.75717781e-02 -1.52453143e-02  1.00000000e+00]]",4
13209,102142.572251,"[[ 2.59035703e-03 -8.03529272e-05 -1.25254150e+00]
 [-2.89949354e-05 -2.95148052e-03  1.47669815e+00]
 [ 7.32607717e-05 -4.70570584e-05  9.86762769e-01]]","[[ 3.71734675e+02 -1.80746980e+01  4.98908143e+02]
 [-1.78870568e+01 -3.46224845e+02  4.95423340e+02]
 [-2.84519059e-02 -1.51689514e-02  1.00000000e+00]]",4
13210,102142.605762,"[[ 2.59315132e-03 -8.04597477e-05 -1.25420427e+00]
 [-2.90301248e-05 -2.95447800e-03  1.47920722e+00]
 [ 7.52424076e-05 -4.68346186e-05  9.85669683e-01]]","[[ 3.70949393e+02 -1.80129853e+01  4.99042691e+02]
 [-1.82565104e+01 -3.45830953e+02  4.95762688e+02]
 [-2.91843836e-02 -1.50572962e-02  1.00000000e+00]]",4
13211,102142.639272,"[[ 2.59073944e-03 -7.91318951e-05 -1.25372432e+00]
 [-2.88817489e-05 -2.95436731e-03  1.47927482e+00]
 [ 7.36783258e-05 -4.54047448e-05  9.85742348e-01]]","[[ 3.71600616e+02 -1.76232673e+01  4.99069952e+02]
 [-1.79539450e+01 -3.45621295e+02  4.95828937e+02]
 [-2.86019015e-02 -1.46025925e-02  1.00000000e+00]]",4
13212,102142.672782,"[[ 2.59085206e-03 -8.03243113e-05 -1.25335721e+00]
 [-3.07026217e-05 -2.95781203e-03  1.48066420e+00]
 [ 7.32825901e-05 -4.70265333e-05  9.86720633e-01]]","[[ 3.71642040e+02 -1.80281445e+01  4.99121879e+02]
 [-1.81068218e+01 -3.45472650e+02  4.95413448e+02]
 [-2.84643813e-02 -1.51260970e-02  1.00000000e+00]]",4
13213,102142.706293,"[[ 2.58938038e-03 -8.00783162e-05 -1.25253674e+00]
 [-3.11774641e-05 -2.95387517e-03  1.47801556e+00]
 [ 7.20515316e-05 -4.64725023e-05  9.87052422e-01]]","[[ 3.72090838e+02 -1.79383571e+01  4.99031870e+02]
 [-1.79405873e+01 -3.45841216e+02  4.95097771e+02]
 [-2.80060695e-02 -1.49734911e-02  1.00000000e+00]]",4
13214,102142.739803,"[[ 2.58745889e-03 -7.96171866e-05 -1.25146189e+00]
 [-2.98328623e-05 -2.95262081e-03  1.47586673e+00]
 [ 7.07869482e-05 -4.67443966e-05  9.87814653e-01]]","[[ 3.72624171e+02 -1.79459539e+01  4.98889933e+02]
 [-1.75266466e+01 -3.46043123e+02  4.94809023e+02]
 [-2.75316835e-02 -1.50891037e-02  1.00000000e+00]]",4
13215,102142.773314,"[[ 2.58879588e-03 -8.13070166e-05 -1.25132746e+00]
 [-2.85923777e-05 -2.95660611e-03  1.47487149e+00]
 [ 7.29613365e-05 -4.80813954e-05  9.87354090e-01]]","[[ 3.72017234e+02 -1.83434582e+01  4.98878394e+02]
 [-1.77420000e+01 -3.45771583e+02  4.94014865e+02]
 [-2.83545032e-02 -1.54826086e-02  1.00000000e+00]]",4
13216,102142.806824,"[[ 2.59044447e-03 -8.17555332e-05 -1.25194228e+00]
 [-2.98768333e-05 -2.95652939e-03  1.47408544e+00]
 [ 7.37702933e-05 -5.03998286e-05  9.88072883e-01]]","[[ 3.71610821e+02 -1.87801788e+01  4.98868955e+02]
 [-1.80474058e+01 -3.46148806e+02  4.93545175e+02]
 [-2.86653201e-02 -1.62542880e-02  1.00000000e+00]]",4
13217,102142.840335,"[[ 2.58430442e-03 -7.83130921e-05 -1.24869250e+00]
 [-3.16290864e-05 -2.94984118e-03  1.47072228e+00]
 [ 7.08111549e-05 -4.68779914e-05  9.87848743e-01]]","[[ 3.73084217e+02 -1.78208605e+01  4.98129905e+02]
 [-1.77540619e+01 -3.46368316e+02  4.93235668e+02]
 [-2.75860036e-02 -1.51593403e-02  1.00000000e+00]]",4
13218,102142.873845,"[[ 2.58846566e-03 -8.17487294e-05 -1.24856711e+00]
 [-2.99762251e-05 -2.95467783e-03  1.47075875e+00]
 [ 7.39706519e-05 -4.97592200e-05  9.87686033e-01]]","[[ 3.71883940e+02 -1.86744911e+01  4.97919088e+02]
 [-1.80902545e+01 -3.46243697e+02  4.92721407e+02]
 [-2.87628391e-02 -1.60450300e-02  1.00000000e+00]]",4
13219,102142.907355,"[[ 2.58452121e-03 -8.16201233e-05 -1.24574273e+00]
 [-3.12257823e-05 -2.95415791e-03  1.46847641e+00]
 [ 7.05219235e-05 -5.03382858e-05  9.89670810e-01]]","[[ 3.73116053e+02 -1.87866604e+01  4.97533494e+02]
 [-1.76053283e+01 -3.46400197e+02  4.91829003e+02]
 [-2.74829605e-02 -1.62804849e-02  1.00000000e+00]]",4
13220,102142.940866,"[[ 2.58713564e-03 -8.47678232e-05 -1.24683220e+00]
 [-2.99178332e-05 -2.95519587e-03  1.46469717e+00]
 [ 7.31274009e-05 -5.13868622e-05  9.88791868e-01]]","[[ 3.72227614e+02 -1.93368168e+01  4.98009713e+02]
 [-1.78728420e+01 -3.46405121e+02  4.90592795e+02]
 [-2.84574218e-02 -1.65723663e-02  1.00000000e+00]]",4
13221,102142.974376,"[[ 2.58709603e-03 -8.35831636e-05 -1.24812230e+00]
 [-2.80693396e-05 -2.95372277e-03  1.46192315e+00]
 [ 7.33619180e-05 -5.36834853e-05  9.89761346e-01]]","[[ 3.72191625e+02 -1.95882642e+01  4.98278910e+02]
 [-1.76652294e+01 -3.46965374e+02  4.90207411e+02]
 [-2.85452879e-02 -1.73670936e-02  1.00000000e+00]]",4
13222,102143.007887,"[[ 2.58601562e-03 -8.25093836e-05 -1.24899804e+00]
 [-2.97725638e-05 -2.95102513e-03  1.46269847e+00]
 [ 7.26008865e-05 -5.30009978e-05  9.89802339e-01]]","[[ 3.72473360e+02 -1.93697877e+01  4.98635574e+02]
 [-1.77711240e+01 -3.47180182e+02  4.90627068e+02]
 [-2.82720927e-02 -1.71697233e-02  1.00000000e+00]]",4
13223,102143.041397,"[[ 2.58721698e-03 -8.24222620e-05 -1.24949037e+00]
 [-3.08892758e-05 -2.95005658e-03  1.46444602e+00]
 [ 7.38034816e-05 -5.25854035e-05  9.89031433e-01]]","[[ 3.72062441e+02 -1.92827115e+01  4.98595811e+02]
 [-1.81574327e+01 -3.47224853e+02  4.91192191e+02]
 [-2.87294403e-02 -1.70225406e-02  1.00000000e+00]]",4
13224,102143.074907,"[[ 2.58541879e-03 -8.03092870e-05 -1.24850328e+00]
 [-3.09066482e-05 -2.94596253e-03  1.46499999e+00]
 [ 7.28147200e-05 -4.96655448e-05  9.88163330e-01]]","[[ 3.72532003e+02 -1.85543707e+01  4.98186448e+02]
 [-1.80094315e+01 -3.47252316e+02  4.92064207e+02]
 [-2.83559012e-02 -1.60858470e-02  1.00000000e+00]]",4
13225,102143.108418,"[[ 2.58386308e-03 -8.04933547e-05 -1.24670933e+00]
 [-3.05279220e-05 -2.94673448e-03  1.46795432e+00]
 [ 7.05243017e-05 -5.07081941e-05  9.89888429e-01]]","[[ 3.73207182e+02 -1.87618198e+01  4.97856480e+02]
 [-1.75601878e+01 -3.47362798e+02  4.93005329e+02]
 [-2.74885740e-02 -1.64573860e-02  1.00000000e+00]]",4
13226,102143.141928,"[[ 2.58358273e-03 -8.02342199e-05 -1.24604762e+00]
 [-3.14952760e-05 -2.94916968e-03  1.47121578e+00]
 [ 7.02455931e-05 -4.94241870e-05  9.89437251e-01]]","[[ 3.73303993e+02 -1.84954770e+01  4.97621644e+02]
 [-1.76475848e+01 -3.46869509e+02  4.93543338e+02]
 [-2.73844329e-02 -1.60136661e-02  1.00000000e+00]]",4
13227,102143.175439,"[[ 2.58504211e-03 -8.28220190e-05 -1.24586679e+00]
 [-3.50109912e-05 -2.95029535e-03  1.47434155e+00]
 [ 7.07485552e-05 -4.89938292e-05  9.88977349e-01]]","[[ 3.72963850e+02 -1.87362455e+01  4.97773686e+02]
 [-1.82098343e+01 -3.46638496e+02  4.93819711e+02]
 [-2.75828592e-02 -1.58320966e-02  1.00000000e+00]]",4
13228,102143.208949,"[[ 2.58847493e-03 -8.36979254e-05 -1.24730940e+00]
 [-3.47830228e-05 -2.95169242e-03  1.47521033e+00]
 [ 7.36442004e-05 -4.92238022e-05  9.87649407e-01]]","[[ 3.71910611e+02 -1.88480954e+01  4.97841140e+02]
 [-1.87084435e+01 -3.46494999e+02  4.93917964e+02]
 [-2.86639774e-02 -1.58636742e-02  1.00000000e+00]]",4
13264,102144.415324,"[[ 2.58435413e-03 -8.57361095e-05 -1.24546963e+00]
 [-3.49520189e-05 -2.94960223e-03  1.46974139e+00]
 [ 7.22978311e-05 -5.01195247e-05  9.88654636e-01]]","[[ 3.72743870e+02 -1.93009901e+01  4.98261594e+02]
 [-1.84655175e+01 -3.46858535e+02  4.92380336e+02]
 [-2.81939267e-02 -1.61724475e-02  1.00000000e+00]]",4
13265,102144.448834,"[[ 2.58372674e-03 -8.60221442e-05 -1.24505183e+00]
 [-3.52801245e-05 -2.94865044e-03  1.46935818e+00]
 [ 7.25058070e-05 -4.95050496e-05  9.88246200e-01]]","[[ 3.72792277e+02 -1.92411736e+01  4.98274502e+02]
 [-1.85529978e+01 -3.46863098e+02  4.92353713e+02]
 [-2.82804750e-02 -1.59640159e-02  1.00000000e+00]]",4
13266,102144.482345,"[[ 2.58457934e-03 -8.60068598e-05 -1.24559584e+00]
 [-3.45275450e-05 -2.94901252e-03  1.46898931e+00]
 [ 7.35554429e-05 -4.93292917e-05  9.87630721e-01]]","[[ 3.72471942e+02 -1.91985298e+01  4.98315743e+02]
 [-1.86431469e+01 -3.46787649e+02  4.92294855e+02]
 [-2.86716394e-02 -1.58911953e-02  1.00000000e+00]]",4
