35.4889 	DATA 	START
35.4889 	DATA 	Intro Survey
37.8876 	DATA 	Keypress: space
40.3553 	DATA 	Mouse: wheel shift=(0,0), pos=(635,868)
40.3580 	DATA 	Mouse: wheel shift=(0,0), pos=(635,868)
40.3718 	DATA 	Mouse: wheel shift=(0,0), pos=(635,868)
40.3881 	DATA 	Mouse: wheel shift=(0,0), pos=(635,868)
40.3906 	DATA 	Mouse: wheel shift=(0,0), pos=(635,868)
40.4055 	DATA 	Mouse: wheel shift=(0,0), pos=(635,868)
40.4383 	DATA 	Mouse: wheel shift=(0,0), pos=(635,868)
40.4549 	DATA 	Mouse: wheel shift=(0,0), pos=(635,868)
40.4727 	DATA 	Keypress: space
40.5060 	DATA 	Mouse: wheel shift=(0,0), pos=(635,869)
40.5252 	DATA 	Mouse: wheel shift=(0,0), pos=(635,869)
40.5555 	DATA 	Mouse: wheel shift=(0,0), pos=(635,869)
40.5719 	DATA 	Mouse: wheel shift=(0,0), pos=(635,869)
40.6721 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
40.6892 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
40.7061 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
40.7064 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
40.7216 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
40.7388 	DATA 	Mouse: wheel shift=(0,-1), pos=(636,871)
40.7551 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
40.7721 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
40.7880 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
41.1550 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
41.1715 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
41.1892 	DATA 	Mouse: wheel shift=(0,1), pos=(636,871)
41.2055 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
41.2380 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
41.2382 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
41.2551 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
41.2715 	DATA 	Mouse: wheel shift=(0,0), pos=(636,871)
41.2890 	DATA 	Mouse: wheel shift=(0,1), pos=(636,871)
41.3052 	DATA 	Mouse: wheel shift=(0,0), pos=(636,872)
41.3220 	DATA 	Mouse: wheel shift=(0,0), pos=(636,873)
41.3391 	DATA 	Mouse: wheel shift=(0,0), pos=(636,879)
41.3562 	DATA 	Mouse: wheel shift=(0,0), pos=(636,882)
41.3715 	DATA 	Mouse: wheel shift=(0,1), pos=(637,887)
41.3888 	DATA 	Mouse: wheel shift=(0,0), pos=(638,890)
41.4054 	DATA 	Mouse: wheel shift=(0,0), pos=(639,893)
41.4223 	DATA 	Mouse: wheel shift=(0,0), pos=(639,894)
41.4234 	DATA 	Keypress: 3
41.4392 	DATA 	Mouse: wheel shift=(0,0), pos=(639,895)
41.4452 	DATA 	Mouse: wheel shift=(0,0), pos=(639,896)
41.4553 	DATA 	Mouse: wheel shift=(0,0), pos=(639,896)
43.4063 	DATA 	Mouse: wheel shift=(0,0), pos=(1252,459)
43.4230 	DATA 	Mouse: wheel shift=(0,0), pos=(1252,459)
43.4395 	DATA 	Mouse: wheel shift=(0,0), pos=(1252,459)
43.4561 	DATA 	Mouse: wheel shift=(0,0), pos=(1252,459)
52.3258 	DATA 	Mouse: Left button down, pos=(1309,274)
52.3289 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=        4:
quite a bit
52.3289 	DATA 	RatingScale unnamed RatingScale: rating RT=14.382
52.3289 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('        4:\nquite a bit', 3.48), ('        4:\nquite a bit', 14.382)]
52.3415 	DATA 	Question Number: 22 , Response:         4:
quite a bit
52.4755 	DATA 	Mouse:  Left button up, pos=(1309,274)
62.1140 	DATA 	Mouse: Left button down, pos=(1312,434)
62.2151 	DATA 	Mouse:  Left button up, pos=(1313,434)
63.0783 	DATA 	Mouse: Left button down, pos=(1310,292)
63.0812 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
63.0812 	DATA 	RatingScale unnamed RatingScale: rating RT=10.708
63.0812 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 9.741), ('       3:\nmoderately', 10.708)]
63.0949 	DATA 	Question Number: 26 , Response:        3:
moderately
63.1612 	DATA 	Mouse:  Left button up, pos=(1310,292)
67.6469 	DATA 	Keypress: num_2
68.0968 	DATA 	Keypress: num_2
68.2467 	DATA 	Keypress: num_2
68.8978 	DATA 	Mouse: wheel shift=(0,0), pos=(1333,304)
68.9134 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
68.9300 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
68.9483 	DATA 	Mouse: wheel shift=(0,0), pos=(1333,304)
68.9484 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
68.9651 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
68.9823 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
68.9979 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.0152 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.0323 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.0492 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.0650 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.0825 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.0986 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.1160 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.1305 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.1491 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.1649 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.1813 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.1990 	DATA 	Mouse: wheel shift=(-1,0), pos=(1333,304)
69.2152 	DATA 	Mouse: wheel shift=(-1,0), pos=(1319,310)
69.2324 	DATA 	Mouse: wheel shift=(0,0), pos=(1278,323)
69.2484 	DATA 	Mouse: wheel shift=(0,0), pos=(1171,353)
69.2652 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.2822 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.2970 	DATA 	Mouse: wheel shift=(-1,0), pos=(1133,362)
69.3164 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.3329 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.3635 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.3660 	DATA 	Mouse: wheel shift=(-1,0), pos=(1133,362)
69.3824 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.3982 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4161 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4314 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4493 	DATA 	Mouse: wheel shift=(-1,0), pos=(1133,362)
69.4658 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4824 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.4983 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5146 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5320 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5493 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5653 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5822 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.5982 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.6162 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.6484 	DATA 	Mouse: wheel shift=(-1,0), pos=(1133,362)
69.6652 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.6981 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
69.6982 	DATA 	Mouse: wheel shift=(0,0), pos=(1133,362)
72.9815 	DATA 	Mouse: wheel shift=(0,0), pos=(1130,370)
73.0158 	DATA 	Mouse: wheel shift=(0,0), pos=(1130,370)
73.0481 	DATA 	Mouse: wheel shift=(0,0), pos=(1130,370)
73.0484 	DATA 	Mouse: wheel shift=(0,0), pos=(1131,370)
74.3307 	DATA 	Mouse: wheel shift=(0,0), pos=(1418,426)
74.7979 	DATA 	Mouse: Left button down, pos=(1805,420)
74.9508 	DATA 	Mouse:  Left button up, pos=(1803,420)
75.4010 	DATA 	Mouse: wheel shift=(0,0), pos=(1028,284)
75.4311 	DATA 	Mouse: Left button down, pos=(1028,284)
75.4482 	DATA 	Mouse: wheel shift=(0,0), pos=(1028,284)
75.5014 	DATA 	Mouse:  Left button up, pos=(1055,284)
75.5313 	DATA 	Mouse: wheel shift=(0,0), pos=(1116,281)
75.6484 	DATA 	Mouse: Left button down, pos=(1139,281)
75.6514 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=        4:
quite a bit
75.6514 	DATA 	RatingScale unnamed RatingScale: rating RT=12.525
75.6514 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('        4:\nquite a bit', 11.675), ('        4:\nquite a bit', 12.525)]
75.6654 	DATA 	Question Number: 29 , Response:         4:
quite a bit
75.7482 	DATA 	Mouse:  Left button up, pos=(1139,281)
75.7981 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8142 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8172 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8311 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8484 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8510 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8649 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8812 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
75.8839 	DATA 	Mouse: wheel shift=(0,0), pos=(1139,281)
76.0653 	DATA 	Mouse: wheel shift=(0,0), pos=(1279,324)
77.2823 	DATA 	Mouse: Left button down, pos=(1284,364)
77.4498 	DATA 	Mouse:  Left button up, pos=(1283,361)
77.8323 	DATA 	Mouse: Left button down, pos=(1312,433)
77.9657 	DATA 	Mouse:  Left button up, pos=(1312,431)
78.2322 	DATA 	Mouse: Left button down, pos=(1299,210)
78.3325 	DATA 	Mouse:  Left button up, pos=(1298,214)
78.5165 	DATA 	Mouse: Left button down, pos=(1315,314)
78.5521 	DATA 	RatingScale unnamed RatingScale: (mouse response) rating=       3:
moderately
78.5521 	DATA 	RatingScale unnamed RatingScale: rating RT=2.859
78.5521 	DATA 	RatingScale unnamed RatingScale: history=[(None, 0.0), ('       3:\nmoderately', 2.142), ('       3:\nmoderately', 2.859)]
78.5661 	DATA 	Question Number: 1 , Response:        3:
moderately
78.5946 	DATA 	Mouse:  Left button up, pos=(1301,287)
78.7164 	DATA 	Mouse: Left button down, pos=(1298,283)
78.8000 	DATA 	Mouse:  Left button up, pos=(1299,286)
79.1344 	DATA 	Mouse: Left button down, pos=(1296,370)
